Document,FinBERT_Negative,FinBERT_Neutral,FinBERT_Positive,LM_Positive,LM_Negative,LM_Polarity,LM_Subjectivity,VADER_Negative,VADER_Neutral,VADER_Positive,VADER_Compound,SBN_Negative,SBN_Neutral,SBN_Positive,SBN_Compound,COVID_Related_Frequency,COVID_Contextual_Positive_Frequency,COVID_Contextual_Negative_Frequency,Sentence
BX,0.16006625012820772,0.6576150182446096,0.1823187293980851,0.18773006134969325,0.3337423312883436,-0.04458195421183176,0.023482780926867147,0.03379754601226994,0.7888748466257669,0.17609938650306747,0.310040736196319,0.05741349693251534,0.5878552147239263,0.35350920245398776,0.32598233128834353,0.04171779141104295,0.03680981595092025,0.02822085889570552,815
CAT,0.32518050931362585,0.5240549192560582,0.1507645716808749,0.3088235294117647,0.36437908496732024,-0.04186009607793941,0.03712666183765277,0.06440686274509805,0.7313529411764707,0.1682875816993464,0.22863055555555556,0.07844934640522876,0.5352875816993464,0.3503300653594771,0.25543006535947715,0.02287581699346405,0.0196078431372549,0.004901960784313725,612
CB,0.1820786874573562,0.6817401801646681,0.13618113108106558,0.2853628536285363,1.3025830258302582,-0.2905579861349241,0.06805161032967146,0.11209348093480935,0.7412939729397294,0.14536777367773676,0.05641931119311193,0.12215129151291512,0.5473271832718327,0.32930258302583026,0.19234698646986467,0.055350553505535055,0.041820418204182044,0.04428044280442804,813
CI,0.18098001110029743,0.6369071021614657,0.18211288978806237,0.29540481400437635,0.437636761487965,-0.08409110964021996,0.0343469648733924,0.07380087527352297,0.757089715536105,0.16910940919037198,0.2361800875273523,0.09144201312910284,0.5640722100656456,0.3444989059080963,0.2950542669584245,0.13347921225382933,0.12035010940919037,0.061269146608315096,457
CMCSA,0.2661767132799085,0.5656724143417994,0.1681508738987043,0.13725490196078433,0.34509803921568627,-0.12203850109884805,0.025017703269148647,0.04149019607843137,0.8117980392156863,0.1467176470588235,0.24469019607843137,0.06260588235294118,0.6005823529411766,0.3368274509803922,0.3055850980392157,0.11568627450980393,0.0784313725490196,0.047058823529411764,510
COP,0.2349699667310617,0.5972275733158701,0.1678024599375263,0.22802547770700637,0.5949044585987261,-0.21576568387233688,0.05586659890114314,0.08037707006369427,0.7650955414012739,0.15326369426751593,0.14342878980891718,0.10695541401273885,0.5342509554140127,0.3574993630573248,0.23017312101910828,0.017834394904458598,0.005095541401273885,0.012738853503184714,785
COST,0.2463632861605089,0.5017342376445538,0.25190247211461236,0.34806629834254144,0.2541436464088398,0.04327804961636436,0.03935158257967973,0.05264088397790055,0.7792154696132597,0.16817127071823204,0.22016298342541435,0.05943093922651933,0.5622707182320442,0.37831491712707177,0.3124767955801105,0.11602209944751381,0.0718232044198895,0.049723756906077346,181
CRM,0.11101741587865303,0.6310827674313647,0.2578998152746773,0.3235294117647059,0.16993464052287582,0.1019607023748009,0.03206727595472393,0.024313725490196076,0.791297385620915,0.18437908496732028,0.3458130718954248,0.04280392156862745,0.5776797385620915,0.3795392156862745,0.38523496732026147,0.0196078431372549,0.00980392156862745,0.016339869281045753,306
CSCO,0.24400827252424478,0.553852643998006,0.2021390881410913,0.19142857142857142,0.44,-0.16076177545091014,0.03838509128706749,0.05026571428571429,0.7710914285714285,0.1757942857142857,0.2646282857142857,0.06568285714285714,0.5323942857142857,0.39910285714285715,0.35525542857142856,0.04857142857142857,0.04,0.017142857142857144,350
CVS,0.19147211253245805,0.6134455375436787,0.19508234978199512,0.30998248686514884,0.5411558669001751,-0.08447165109934393,0.044387288550299525,0.04807880910683012,0.7782889667250438,0.17362171628721543,0.2895168126094571,0.07664098073555166,0.5850665499124343,0.33831173380035023,0.3100723292469352,0.19089316987740806,0.1681260945709282,0.0647985989492119,571
DHR,0.20215111852499934,0.5736202275406975,0.2242286542256173,0.2376470588235294,0.4258823529411765,-0.12235284809158316,0.03163491045073311,0.059868235294117646,0.773995294117647,0.16614352941176472,0.2874708235294118,0.07785882352941177,0.5980494117647058,0.32406117647058824,0.3163298823529412,0.10823529411764705,0.08,0.08235294117647059,425
DIS,0.29437516640809525,0.5240836839118266,0.1815411467938673,0.2684085510688836,0.6175771971496437,-0.1779399133418546,0.037460038150690475,0.05798812351543943,0.7815653206650831,0.16042992874109263,0.23378194774346794,0.09322802850356295,0.5715296912114014,0.3352304038004751,0.2970232779097387,0.08788598574821853,0.07363420427553444,0.052256532066508314,421
ELV,0.17052928702136086,0.6616195301255904,0.16785118363966997,0.3157894736842105,0.5131578947368421,-0.07683123839739107,0.04669666160130605,0.04460526315789474,0.7798947368421052,0.17550822368421054,0.28953799342105263,0.06888815789473685,0.5832154605263158,0.3478651315789474,0.321172697368421,0.16776315789473684,0.1299342105263158,0.07072368421052631,608
GILD,0.15961091786603185,0.6033092188906479,0.23707985937106588,0.2972027972027972,0.3181818181818182,-0.019105231574289252,0.030535693982807127,0.050800699300699304,0.7883531468531468,0.16082867132867132,0.23489055944055945,0.06821678321678322,0.5834300699300699,0.3483496503496504,0.3322818181818182,0.08391608391608392,0.07342657342657342,0.04195804195804196,286
GOOGL,0.19564928729964653,0.5557164379585205,0.24863427285654158,0.18429003021148035,0.3504531722054381,-0.10574009439417133,0.033330572888280716,0.0399214501510574,0.7807401812688822,0.17934743202416917,0.3104172205438066,0.06461329305135952,0.575631419939577,0.3597522658610272,0.3404664652567976,0.05740181268882175,0.03927492447129909,0.021148036253776436,331
GS,0.10276076983661774,0.7506049643628873,0.14663426511366928,0.1499312242090784,0.3920220082530949,-0.1282078063966731,0.030950252975610347,0.0933060522696011,0.7447840440165061,0.15639339752407153,0.1485296423658872,0.09715955983493811,0.5595598349381018,0.33779160935350755,0.24009463548830812,0.04470426409903714,0.035075653370013754,0.029573590096286108,1454
HD,0.2073040555261976,0.603415648857193,0.1892802972694511,0.1358695652173913,0.29347826086956524,-0.05797100150965393,0.03461377638221433,0.06591847826086956,0.780054347826087,0.1539836956521739,0.16366358695652175,0.09379891304347826,0.5447065217391305,0.36142391304347826,0.20672934782608693,0.02717391304347826,0.016304347826086956,0.016304347826086956,184
HON,0.4348189658369763,0.404607636797909,0.16057339992625178,0.2631578947368421,1.3333333333333333,-0.3518966336051165,0.06734580977943265,0.1028140350877193,0.7480175438596491,0.14916491228070175,0.12487649122807017,0.1192,0.5382701754385966,0.34257543859649126,0.26196526315789476,0.1824561403508772,0.12631578947368421,0.12280701754385964,285
INTC,0.10663737237913429,0.4712695444849818,0.42209308529568695,0.4854368932038835,0.2621359223300971,0.15024259731267584,0.04636623430051293,0.03808495145631068,0.7923300970873787,0.16958980582524272,0.2832271844660194,0.04466747572815534,0.613626213592233,0.3416990291262136,0.330725,0.038834951456310676,0.03155339805825243,0.021844660194174758,412
INTU,0.12955701799446742,0.6828048749315277,0.18763810723469082,0.14634146341463414,0.2508710801393728,-0.05168405637826623,0.02295594549571646,0.04909756097560975,0.7579303135888502,0.19295470383275262,0.29653379790940765,0.05714982578397213,0.5517839721254355,0.3910836236933798,0.3692933797909408,0.020905923344947737,0.017421602787456445,0.013937282229965157,287
ISRG,0.21787173505592292,0.5253150827307415,0.2568131836036482,0.15427769985974754,0.28892005610098176,-0.08120610808093494,0.028417146045825986,0.04057924263674614,0.8191823281907433,0.13601963534361852,0.19462384291725104,0.05984992987377279,0.6537363253856943,0.28221458625525947,0.23539831697054697,0.10518934081346423,0.07152875175315568,0.04908835904628331,713
KO,0.16679570774455935,0.6579960613747613,0.17520823405176716,0.3724696356275304,0.41970310391363025,-0.030212390993205707,0.04771317176757232,0.05095951417004049,0.784140350877193,0.1649122807017544,0.2601148448043185,0.077804318488529,0.5756612685560054,0.34653306342780027,0.2842211875843455,0.044534412955465584,0.032388663967611336,0.02699055330634278,741
LIN,0.21181613507013883,0.5824579949228711,0.20572586997067116,0.2853185595567867,0.3185595567867036,-0.048946481791684184,0.03298525127018942,0.0536398891966759,0.7695041551246538,0.17686149584487534,0.2543157894736842,0.0822409972299169,0.5687285318559557,0.34905817174515236,0.2859684210526316,0.002770083102493075,0.002770083102493075,0.0,361
LLY,0.22079878805386433,0.5543349010667582,0.224866307068751,0.2577777777777778,0.4177777777777778,-0.07499465851552377,0.04106135968196178,0.06702,0.7839222222222222,0.14904444444444442,0.16229133333333332,0.07574666666666666,0.5905377777777778,0.33374,0.26960333333333336,0.12222222222222222,0.08888888888888889,0.06,450
LMT,0.18644294455642252,0.582325406703858,0.23123164931560033,0.3058984910836763,0.2825788751714678,0.026154528597792187,0.03218584272431242,0.039363511659807955,0.7800466392318244,0.18058573388203017,0.3189576131687243,0.06550754458161866,0.5715171467764061,0.3629561042524006,0.3384006858710562,0.04526748971193416,0.027434842249657063,0.02606310013717421,729
